TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
X10min,.,15°C - 8°C,-1.9346024751999995,1.3470187966173417,27.0,-1.4362104523397956,0.16242868699109164,Between-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.9179819852941961,False
X10min,.,22°C - 8°C,-0.6539129687,1.3470187966173417,27.0,-0.48545199988457344,0.631271824137354,Between-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.9979364913093677,False
X2hrs,.,15°C - 22°C,1.8819309805999984,1.617816242716527,27.0,1.1632538547393911,0.2549043657700377,Between-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.9587581238028823,False
X2hrs,.,15°C - 8°C,3.4657365745999975,1.6178162427165272,27.0,2.1422312887528983,0.04134896347932886,Between-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.7296680224763044,False
X2hrs,.,22°C - 8°C,1.5838055939999993,1.6178162427165272,27.0,0.9789774340135072,0.3362820991507207,Between-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.9587581238028823,False
.,15°C,X10min - X2hrs,-1.9332293800999982,1.6183494877560376,27.0,-1.194568537096746,0.242644401273795,Within-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.9583024215269884,False
.,22°C,X10min - X2hrs,1.2293911069999996,1.6183494877560374,27.0,0.7596573646800125,0.4540415421463756,Within-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.9748246327115793,False
.,8°C,X10min - X2hrs,3.467109669699999,1.6183494877560374,27.0,2.142373879023749,0.04133644615716877,Within-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.7296680224763044,False
X10min,.,15°C - 22°C,0.1790323848999995,0.7012133776772531,27.0,0.255317982513452,0.8004124396107092,Between-Group,1-Heptadecanol,0.9995801204593276,False
X10min,.,15°C - 8°C,0.09290812599999933,0.7012133776772532,27.0,0.132496225767618,0.8955743127975753,Between-Group,1-Heptadecanol,0.9995801204593276,False
X10min,.,22°C - 8°C,-0.0861242589000002,0.7012133776772532,27.0,-0.12282175674583397,0.9031579295959292,Between-Group,1-Heptadecanol,0.9995801204593276,False
X2hrs,.,15°C - 22°C,0.29236234470000066,0.8624935221693927,27.0,0.3389733803039289,0.7372520492073524,Between-Group,1-Heptadecanol,0.9995801204593276,False
X2hrs,.,15°C - 8°C,0.9643996686000006,0.8624935221693928,27.0,1.1181529412235904,0.27335208850681514,Between-Group,1-Heptadecanol,0.9587581238028823,False
X2hrs,.,22°C - 8°C,0.6720373238999999,0.8624935221693928,27.0,0.7791795609196617,0.44265024915720963,Between-Group,1-Heptadecanol,0.9748246327115793,False
.,15°C,X10min - X2hrs,-0.005656866500002439,0.7563356412088236,27.0,-0.00747930705865094,0.9940874217914952,Within-Group,1-Heptadecanol,0.9995801204593276,False
.,22°C,X10min - X2hrs,0.1076730932999987,0.7563356412088236,27.0,0.1423615223631518,0.8878514825137251,Within-Group,1-Heptadecanol,0.9995801204593276,False
.,8°C,X10min - X2hrs,0.8658346760999989,0.7563356412088236,27.0,1.1447757171884259,0.26234903647289537,Within-Group,1-Heptadecanol,0.9587581238028823,False
X10min,.,15°C - 22°C,0.6755844055000002,1.0175792069981535,27.0,0.6639133355456094,0.5123757516163936,Between-Group,1-Monooleoylglycerol,0.9979364913093677,False
X10min,.,15°C - 8°C,-0.5340421493999996,1.0175792069981535,27.0,-0.524816295112218,0.6039938708207508,Between-Group,1-Monooleoylglycerol,0.9979364913093677,False
X10min,.,22°C - 8°C,-1.2096265548999998,1.0175792069981535,27.0,-1.1887296306578272,0.24489657210775906,Between-Group,1-Monooleoylglycerol,0.9583024215269884,False
X2hrs,.,15°C - 22°C,2.5173348167,1.126117625986561,27.0,2.2354101903827597,0.03385743373882785,Between-Group,1-Monooleoylglycerol,0.7296680224763044,False
X2hrs,.,15°C - 8°C,1.4383501700000008,1.126117625986561,27.0,1.2772645919114367,0.21238355948466384,Between-Group,1-Monooleoylglycerol,0.9583024215269884,False
X2hrs,.,22°C - 8°C,-1.0789846466999993,1.126117625986561,27.0,-0.9581455984713232,0.34649105674905467,Between-Group,1-Monooleoylglycerol,0.9587581238028823,False
.,15°C,X10min - X2hrs,-0.11695770949999901,1.0575926280894214,27.0,-0.11058862022448782,0.9127605211959031,Within-Group,1-Monooleoylglycerol,0.9995801204593276,False
.,22°C,X10min - X2hrs,1.7247927017000007,1.0575926280894212,27.0,1.630866796808049,0.11453013588898843,Within-Group,1-Monooleoylglycerol,0.8286486887209302,False
.,8°C,X10min - X2hrs,1.8554346099000014,1.0575926280894214,27.0,1.7543944242991838,0.09070764242761238,Within-Group,1-Monooleoylglycerol,0.791489245095708,False
X10min,.,15°C - 22°C,-0.3476251267999994,0.3731000655493113,27.0,-0.9317208944688729,0.3597378554160432,Between-Group,1-Monopalmitin,0.9587581238028823,False
X10min,.,15°C - 8°C,-0.40999884209999937,0.37310006554931135,27.0,-1.0988978023800728,0.28151530189623847,Between-Group,1-Monopalmitin,0.9587581238028823,False
X10min,.,22°C - 8°C,-0.06237371529999994,0.37310006554931135,27.0,-0.16717690791120007,0.8684766556898553,Between-Group,1-Monopalmitin,0.9995801204593276,False
X2hrs,.,15°C - 22°C,0.08794703780000027,0.5608441588614885,27.0,0.15681189936707626,0.8765598094854591,Between-Group,1-Monopalmitin,0.9995801204593276,False
X2hrs,.,15°C - 8°C,0.24739871440000047,0.5608441588614885,27.0,0.4411184648908868,0.6626394800225139,Between-Group,1-Monopalmitin,0.9995801204593276,False
X2hrs,.,22°C - 8°C,0.1594516766000002,0.5608441588614885,27.0,0.28430656552381056,0.7783445495140855,Between-Group,1-Monopalmitin,0.9995801204593276,False
.,15°C,X10min - X2hrs,-0.20753339329999876,0.48715812025653554,27.0,-0.4260082808241244,0.6734788054806773,Within-Group,1-Monopalmitin,0.9995801204593276,False
.,22°C,X10min - X2hrs,0.22803877130000094,0.48715812025653554,27.0,0.46810011332648344,0.6434697901640165,Within-Group,1-Monopalmitin,0.9981454114012376,False
.,8°C,X10min - X2hrs,0.4498641632000011,0.48715812025653554,27.0,0.9234458884994146,0.36395438744207487,Within-Group,1-Monopalmitin,0.9587581238028823,False
X10min,.,15°C - 22°C,-2.1694757802,1.8592607745142946,27.0,-1.166848572259448,0.25347428848648956,Between-Group,"1,3-Dioxolane-2-methanol",0.9583024215269884,False
X10min,.,15°C - 8°C,-0.6097593235000003,1.859260774514295,27.0,-0.32795793460403155,0.7454731560662022,Between-Group,"1,3-Dioxolane-2-methanol",0.9995801204593276,False
X10min,.,22°C - 8°C,1.5597164567,1.859260774514295,27.0,0.8388906376554162,0.4088967554497397,Between-Group,"1,3-Dioxolane-2-methanol",0.9639481585472424,False
